1 0 475
2 476 3165
3 3642 2113
4 5756 10196
5 15953 1129
6 17083 1345
7 18429 5184
8 23614 2535
9 26150 6657
10 32808 7829
11 40638 1421
12 42060 1775
13 43836 2249
14 46086 3417
15 49504 1961
16 51466 2105
17 53572 6052
18 59625 2079
19 61705 1460
20 63166 1110
21 64277 3181
22 67459 6318
23 73778 1987
24 75766 2395
25 78162 2612
26 80775 2616
27 83392 3606
28 86999 1416
29 88416 8499
30 96916 3913
31 100830 1483
32 102314 10449
33 112764 4103
34 116868 7206
35 124075 10039
36 134115 3363
37 137479 6499
38 143979 4376
39 148356 4665
40 153022 2997
41 156020 1324
42 157345 3077
43 160423 1960
44 162384 1673
45 164058 1719
46 165778 3357
47 169136 2068
48 171205 2133
49 173339 987
50 174327 1897
51 176225 3961
52 180187 2202
53 182390 5402
54 187793 1748
55 189542 1900
56 191443 2548
57 193992 2198
58 196191 2383
59 198575 2190
60 200766 1797
61 202564 2387
62 204952 6022
63 210975 4958
64 215934 1632
65 217567 13679
66 231247 5376
67 236624 980
68 237605 14509
69 252115 1858
70 253974 1609
71 255584 1099
72 256684 1521
73 258206 1768
74 259975 6082
75 266058 2992
76 269051 3082
77 272134 2390
78 274525 1958
79 276484 2854
80 279339 5407
81 284747 15396
82 300144 7243
83 307388 3359
84 310748 3238
85 313987 2544
86 316532 2964
87 319497 1346
88 320844 2301
89 323146 5277
90 328424 1615
91 330040 1300
92 331341 1708
93 333050 1994
94 335045 2068
95 337114 2607
96 339722 2032
97 341755 1499
98 343255 1493
99 344749 1398
100 346148 2495
101 348644 3690
102 352335 2009
103 354345 3225
104 357571 2870
105 360442 7586
106 368029 419
107 368449 521
108 368971 11269
109 380241 4500
110 384742 3685
111 388428 9035
112 397464 3416
113 400881 2060
114 402942 2010
115 404953 7140
116 412094 6473
117 418568 3699
118 422268 2255
119 424524 14978
120 439503 6423
121 445927 1337
122 447265 1984
123 449250 2946
124 452197 2593
125 454791 2145
126 456937 1597
127 458535 749
128 459285 1399
129 460685 743
130 461429 395
131 461825 3996
132 465822 3933
133 469756 3071
134 472828 4173
135 477002 7616
136 484619 5446
137 490066 1364
138 491431 5335
139 496767 1181
140 497949 937
141 498887 1867
142 500755 2428
143 503184 5505
144 508690 2519
145 511210 8109
146 519320 2479
147 521800 924
148 522725 855
149 523581 1651
150 525233 2247
151 527481 7295
152 534777 1649
153 536427 4777
154 541205 2465
155 543671 3646
156 547318 2701
157 550020 6977
158 556998 2312
159 559311 3031
160 562343 4613
161 566957 2531
162 569489 2893
163 572383 1914
164 574298 1283
165 575582 4746
166 580329 1643
167 581973 1012
168 582986 1611
169 584598 1809
170 586408 4618
171 591027 1682
172 592710 2694
173 595405 9358
174 604764 1886
175 606651 2643
176 609295 9099
177 618395 3560
178 621956 6167
179 628124 3378
180 631503 2965
181 634469 7891
182 642361 1743
183 644105 2210
184 646316 1656
185 647973 972
186 648946 2397
187 651344 1688
188 653033 1790
189 654824 15088
190 669913 7396
191 677310 3152
192 680463 1684
193 682148 1420
194 683569 7697
195 691267 2001
196 693269 2123
197 695393 1793
198 697187 1695
199 698883 2086
200 700970 1166
201 702137 4327
202 706465 5471
203 711937 3027
204 714965 2759
205 717725 3752
206 721478 2134
207 723613 4018
208 727632 13149
209 740782 2525
210 743308 1929
211 745238 3633
212 748872 3876
213 752749 3886
214 756636 1907
215 758544 5449
216 763994 6887
217 770882 2519
218 773402 4593
219 777996 6987
220 784984 1514
221 786499 2495
222 788995 2684
223 791680 825
224 792506 5372
225 797879 280
226 798160 849
227 799010 3588
228 802599 5937
229 808537 1249
230 809787 1396
231 811184 3698
232 814883 4594
233 819478 2398
234 821877 2214
235 824092 3788
236 827881 4072
237 831954 940
238 832895 2949
239 835845 1151
240 836997 1795
241 838793 2014
242 840808 3138
243 843947 7155
244 851103 8624
245 859728 3978
246 863707 4009
247 867717 4639
248 872357 3915
249 876273 4642
250 880916 1169
251 882086 4228
252 886315 2720
253 889036 1728
254 890765 1090
255 891856 4052
256 895909 3888
257 899798 2902
258 902701 1302
259 904004 3178
260 907183 7703
261 914887 19086
262 933974 2209
263 936184 3797
264 939982 1659
265 941642 4265
266 945908 5133
267 951042 8866
268 959909 3156
269 963066 13389
270 976456 3757
271 980214 197
272 980412 6387
273 986800 8723
274 995524 5780
275 1001305 2179
276 1003485 4987
277 1008473 1226
278 1009700 3876
279 1013577 6377
280 1019955 1677
281 1021633 3452
282 1025086 2818
283 1027905 6305
284 1034211 5408
285 1039620 1819
286 1041440 6767
287 1048208 3686
288 1051895 10447
289 1062343 6993
290 1069337 4575
291 1073913 3537
292 1077451 6465
293 1083917 9651
294 1093569 1605
295 1095175 2790
296 1097966 2413
297 1100380 4572
298 1104953 8726
299 1113680 1598
300 1115279 4828
301 1120108 1976
302 1122085 3141
303 1125227 2458
304 1127686 7794
305 1135481 2671
306 1138153 2022
307 1140176 6225
308 1146402 4253
309 1150656 4373
310 1155030 3842
311 1158873 6895
312 1165769 3612
313 1169382 3292
314 1172675 4632
315 1177308 5274
316 1182583 4451
317 1187035 3427
318 1190463 4129
319 1194593 1147
320 1195741 7955
321 1203697 4579
322 1208277 4397
323 1212675 4382
324 1217058 4094
325 1221153 5572
326 1226726 7806
327 1234533 2354
328 1236888 2135
329 1239024 2958
330 1241983 2952
331 1244936 4622
332 1249559 5437
333 1254997 3176
334 1258174 4096
335 1262271 5468
336 1267740 4690
337 1272431 5126
338 1277558 2498
339 1280057 2736
340 1282794 2976
341 1285771 8270
342 1294042 1236
343 1295279 778
344 1296058 211
345 1296270 4156
346 1300427 3352
347 1303780 1552
348 1305333 9957
349 1315291 3076
350 1318368 8763
351 1327132 3971
352 1331104 5253
353 1336358 4940
354 1341299 8592
355 1349892 4805
356 1354698 3928
357 1358627 529
358 1359157 4694
359 1363852 4402
360 1368255 3822
361 1372078 5833
362 1377912 7225
363 1385138 6477
364 1391616 2581
365 1394198 3368
366 1397567 975
367 1398543 22919
