- 4
1 2
15 1
150 1
166 1
17 1
18 1
1866 1
19 2
1949 1
1969 1
199506 1
199601 1
199604 1
199607 1
20 1
24 1
3118 1
3427 1
36 1
4 2
41 1
56 1
80 1
J1 1
J2 1
S 1
· 5
— 13
‘ 3
’ 3
… 4
① 6
② 2
③ 2
④ 2
⑤ 2
⑥ 2
⑦ 2
⑧ 2
⑨ 2
⑩ 2
【 22
】 22
一万年 1
一下 1
一个 30
一人 1
一代 2
一代人 1
一体 2
一体化 1
一元 2
一元化 2
一出 1
一双 1
一反 1
一可安 1
一名 1
一员 1
一在 2
一场 1
一处 1
一大 2
一定 6
一层 1
一己之私 1
一幅 1
一幕幕 1
一座 1
一才 2
一是 1
一条 3
一概而论 1
一次 2
一步 1
一段 2
一派 2
一点 1
一生 2
一百多年 1
一直 1
一种 11
一系列 2
一经 1
一统 1
一统天下 1
一维 1
一胜 1
一致 1
一般说来 3
一节 1
一言不发 1
一负 1
一起 4
一部 2
一部分 2
一重 1
一面 2
一首 1
丁宁 1
七 2
七个 1
七十年 1
七大 2
七星 1
万年 1
万物 1
万花筒 1
万象 1
三 10
三个 3
三人 1
三代 1
三位一体 3
三分法 1
三十 1
三十六 1
三哲 1
三国 7
三国志 11
三国演义 6
三型 1
三大 5
三大派 1
三大流 1
三大类 3
三层 1
三教 1
三流 2
三生 1
三百年 1
三种 5
三级跳远 1
三维空间 1
三苏 1
三顾茅庐 1
上 59
上人 1
上升 2
上来 1
上极 1
上述 2
上银幕 1
下 15
下半叶 1
下去 1
下滑 1
下述 1
下面 1
不 32
不久前 1
不乏 1
不乱 1
不了 2
不亚于 1
不会 3
不似 1
不免 3
不共 1
不共戴天 1
不利于 1
不到 1
不厌 1
不可 4
不可不 1
不可逆转 1
不可避免 1
不同 34
不喜 1
不够 4
不太 2
不奇 2
不好 2
不妨 1
不安 1
不宜 2
不尽相同 1
不屈不挠 1
不已 1
不幸 2
不应 1
不开 1
不得不 3
不必 1
不愧为 1
不愿 1
不敢苟同 1
不断 9
不易 1
不是 10
不用 1
不相上下 1
不耻下问 1
不胜枚举 1
不能 12
不规则 1
不该 1
不谋而合 2
不足 1
不近情理 1
不难 1
与表 1
专 1
专制 2
专制主义 1
专家 1
专家学者 1
专门 2
且于 1
世 4
世界 16
世界主义 3
世界大战 1
世界性 2
世界潮流 2
世界观 3
世纪 9
世袭领地 1
东亚 1
东半球 1
东周 1
东方 2
东方文化 2
东汉 1
东西 3
东西方 1
东风 1
两 4
两三千年 1
两个 6
两千多种 1
两只 1
两大 5
两大派 1
两宋 2
两封 1
